x,y
2604.999999991617,4732.991211155427
2604.4798349198372,4683.006162504553
2600.536823077853,4633.201246774905
2586.275734735871,4585.4045536604535
2563.526423852003,4540.959360891851
2535.491065462469,4499.5650422779145
2504.4401110275503,4460.404369015436
2471.386785450867,4422.886797909641
2441.1190197371325,4383.096868281456
2415.6163394750383,4340.154807506526
2397.18690831998,4293.731648957339
2385.9519032035023,4245.027552316198
2343.316684154328,4238.44099895074
2293.548038011417,4236.187299253419
2249.522225381661,4213.796054940001
2222.60726210798,4172.151631445769
2213.562581406086,4123.30854198441
2225.7153004802185,4075.294774394337
2259.4029113318084,4039.1120330007107
2306.403605149875,4023.400864329211
2354.900526539046,4032.9450591605346
2394.315213256455,4063.1480978680893
2419.9235050830757,4105.773288925644
2427.354981713719,4154.843473441702
2431.281094553997,4201.525866995798
2480.2610160090862,4206.5807788368
2525.993400336374,4189.0102531907905
2496.7825169225,4150.854902681098
2466.6726338954177,4111.136709186947
2445.4613347254963,4065.927417343457
2431.4693212152633,4017.9602963858924
2425.1420491196623,3968.4314213721955
2429.8818350782094,3918.829844984779
2453.962239060551,3875.593081764877
2497.5681329450454,3853.4233076503733
2545.7910480238497,3863.8136319443583
2585.6399272445988,3893.659451261019
2617.0854376177012,3932.4377287315274
2639.781238230644,3976.7236413655774
2644.969328758074,4026.312419273352
2642.331814646721,4076.190560715884
2629.39319562912,4124.287372722989
2619.7194972978905,4168.582045324147
2668.1204574933663,4158.076125571825
2708.0100331445674,4128.391802146772
2737.3629302761674,4088.0697948785837
2756.635346303041,4042.0603505220824
2764.7889903605446,3992.8553883883087
2758.990489143878,3943.3713434850797
2742.885548656748,3896.109228200119
2717.989370279771,3852.8575032574445
2684.9758336437008,3815.4188117120266
2646.017779561619,3784.135262406954
2603.353988193827,3758.1250552362308
2558.419232231332,3736.2006606714567
2511.3528211482626,3719.402719042744
2462.8178236335516,3707.5436226651073
2413.4111972130336,3699.8901431572704
2363.5580293597336,3696.1507580105717
2313.5809231717103,3696.3631180393404
2263.803663375966,3700.9289211620053
2214.810281171627,3710.7684023934507
2166.7869645618193,3724.372330244005
2117.0709928940923,3729.5506652283802
2067.1490049947347,3728.2081859396058
2018.4154484640533,3717.464697643525
1973.905555887477,3695.0895910912077
1940.4524745112285,3658.502472192049
1929.2574991665606,3610.3043653445347
1897.8614838388457,3573.5519539107772
1849.9149888486245,3560.569377551552
1806.3564332723618,3572.0699286460876
1840.7175708541217,3607.5177104091417
1876.1741936908802,3642.5085448106984
1899.967028676314,3686.3027147905086
1930.2282515390543,3726.066987094935
1964.4184282735714,3762.515467503159
2001.616103553088,3795.9067735193503
2044.6666376731591,3820.00601851393
2036.1166385917895,3843.029865413817
1993.2435550236787,3817.89864630131
1955.1266972012909,3785.5458787185307
1918.9062275914239,3751.076074113709
1883.6104174693464,3715.6668057769566
1846.1001872291672,3682.6220488749823
1805.632962465752,3653.2956950668013
1761.6549312491516,3629.612918023533
1714.6370725284796,3614.926072962815
1727.4947455812944,3660.861625055666
1727.4042475541446,3710.432423562461
1706.4176409903903,3755.4055947844045
1675.5490683470853,3794.7129827064928
1655.7638718853705,3839.9133049363736
1691.5380044127087,3871.813372902907
1735.1485540344875,3896.282369276989
1779.5301632868998,3919.308347120119
1823.4520615980728,3943.1779571276857
1866.7344684060809,3968.206940329881
1909.2525503560264,3994.5061164893796
1950.9003752540357,4022.1623269429165
1991.5895775659762,4051.2169140768665
2031.258458476228,4081.6540594055896
2069.8894812048675,4113.406973985562
2107.496023511835,4146.3543747877175
2144.1443492048707,4180.358845801432
2179.8828477705783,4215.334970590125
2214.289130311464,4251.605197290924
2247.2158420113055,4289.235830621019
2278.34069388223,4328.359499553917
2306.9236557542085,4369.348425876229
2330.613326092936,4413.318895727225
2323.5024228610564,4451.388550052536
2294.077793402998,4411.428173207174
2267.677191610738,4368.971801689441
2239.2178891113294,4327.870702788697
2208.7987062053344,4288.198117674192
2176.540261918956,4250.016605731452
2142.555043983439,4213.347775000433
2106.9697500773404,4178.206939283312
2069.9416240673017,4144.617915750787
2031.5924391330918,4112.555062126019
1992.0318492689403,4081.977168061654
1951.3912898644069,4052.8561135191776
1909.7679217644297,4025.1364272460496
1867.2890756383872,3998.782919493962
1824.0208951291079,3973.723396903486
1780.06834214245,3949.912916103205
1735.4921787251806,3927.2287955226348
1691.1025618537915,3904.2551148252405
1650.0809312793808,3876.0014877220838
1639.3956638368545,3828.9053788738092
1626.380149689503,3781.7176437538583
1603.9101000735227,3737.489985745209
1603.2619473738596,3688.062105464749
1640.112132191658,3659.2602744698524
1678.5849419760052,3686.5763662421377
1696.8317188154906,3732.790692258626
1709.4578458779579,3687.1292689426773
1696.0530843734741,3640.9552854672074
1694.2331256270409,3592.422774089151
1738.5434904141584,3595.710608801688
1783.7224939753796,3617.0976085346774
1829.1989479064941,3637.847366333008
1807.0819296579575,3609.212518556742
1771.368815257214,3574.2507301112637
1763.2495465148531,3534.971895051509
1812.6366418426223,3529.850849100414
1862.1804246638385,3536.2622824054815
1909.9911490698287,3550.60486133027
1944.9559999164194,3583.761280370876
1955.3260810215725,3632.344174650847
1987.2861517619604,3670.14935180849
2031.0134836634443,3694.0639639540004
2079.437475035673,3706.036346243929
2129.1893649585545,3703.858473104425
2177.936314658953,3692.8609816738153
2226.604498783893,3681.3557271029013
2275.898358611026,3673.0361833872444
2325.64302770833,3668.188823426436
2375.6240953457354,3667.0442898911824
2425.5252524436237,3669.8562740694274
2475.0148441675046,3676.895967764936
2523.6361716022902,3688.4386628346456
2570.8785914470973,3704.7585791643073
2616.075892214446,3726.074761960209
2658.4717389702764,3752.5159697094296
2697.2387232556175,3784.060917762168
2731.4606554108354,3820.446781144562
2759.8083353405195,3861.568874106427
2780.934936804042,3906.810060693024
2793.65769470592,3955.091835573143
2796.889761623692,4004.9022770381416
2789.7009329270304,4054.2886665708947
2771.463174185801,4100.721400374796
2742.263184571469,4141.124826929442
2703.4607365329075,4172.414324788733
2657.8410274019525,4192.568248007055
2608.8219038199586,4202.088364600253
2560.0024756020302,4212.815329104424
2512.7838805168867,4229.127722769976
2463.8072864245623,4238.332797098905
2420.3288810441736,4248.466043937602
2431.0874804498835,4296.78067927369
2453.0255213877335,4341.6841271111025
2479.063661350714,4384.340670694472
2508.5751701240224,4424.69520063496
2542.050787815202,4461.8131252812855
2573.353592024975,4500.759895553953
2599.3697774519424,4543.410562780013
2619.058621756194,4589.323353060128
2631.7442029323865,4637.6366980466555
2638.548830631189,4687.161571467295
2654.021086463312,4728.077220199411
2673.0070051876683,4682.54796157642
2680.947257921416,4633.217739158983
2684.544892806034,4583.352289515204
2685.2186540223192,4533.369223559392
2687.294237272814,4483.420426237397
2710.9889386302366,4456.621891097888
2752.4772016374627,4484.320544408518
2788.4148383280262,4518.992610407062
2819.0789784062654,4558.448451687582
2834.768131113611,4545.387779973447
2819.5724207591265,4497.755043626763
2806.1172233806465,4449.658242570344
2832.388824996422,4420.987605776871
2879.119513160722,4438.523113257925
2923.625120195791,4461.287066381981
2966.850323416991,4484.41571586777
2961.8279272277978,4435.34677700206
2955.594164033653,4385.806148726959
2989.135783175847,4361.396022571214
3036.8209061754205,4376.042540767092
3082.1557569503784,4397.06854057312
3126.9292825448792,4419.355421015178
3154.220617954852,4421.70754445577
3132.9526629447937,4376.515640258789
3151.8644639588892,4335.130047131795
3200.218126789201,4340.261955032183
3248.0275276543107,4354.719091923442
3297.6024727290496,4359.892423702404
3306.186591792357,4324.358687166401
3278.19314941662,4283.154769314584
3249.4198403051123,4243.479682132602
3293.391041529365,4237.023809517734
3342.9773573013135,4243.402904775352
3392.776901959005,4247.809528235288
3442.5367124693003,4245.825391103048
3460.8183865819738,4208.627510906212
3425.3795954808593,4173.449591957033
3388.732323753633,4139.445019150822
3361.5605984449357,4098.223251021787
3368.7479296647944,4049.967290525208
3406.2930687326007,4017.66883063945
3455.3892782553085,4011.139201877082
