x,y
2604.999999991617,4732.991211155427
2600.536823077853,4633.201246774905
2563.526423852003,4540.959360891851
2504.4401110275503,4460.404369015436
2441.1190197371325,4383.096868281456
2397.18690831998,4293.731648957339
2343.316684154328,4238.44099895074
2249.522225381661,4213.796054940001
2213.562581406086,4123.30854198441
2259.4029113318084,4039.1120330007107
2354.900526539046,4032.9450591605346
2419.9235050830757,4105.773288925644
2431.281094553997,4201.525866995798
2525.993400336374,4189.0102531907905
2466.6726338954177,4111.136709186947
2431.4693212152633,4017.9602963858924
2429.8818350782094,3918.829844984779
2497.5681329450454,3853.4233076503733
2585.6399272445988,3893.659451261019
2639.781238230644,3976.7236413655774
2642.331814646721,4076.190560715884
2619.7194972978905,4168.582045324147
2708.0100331445674,4128.391802146772
2756.635346303041,4042.0603505220824
2758.990489143878,3943.3713434850797
2717.989370279771,3852.8575032574445
2646.017779561619,3784.135262406954
2558.419232231332,3736.2006606714567
2462.8178236335516,3707.5436226651073
2363.5580293597336,3696.1507580105717
2263.803663375966,3700.9289211620053
2166.7869645618193,3724.372330244005
2067.1490049947347,3728.2081859396058
1973.905555887477,3695.0895910912077
1929.2574991665606,3610.3043653445347
1849.9149888486245,3560.569377551552
1840.7175708541217,3607.5177104091417
1899.967028676314,3686.3027147905086
1964.4184282735714,3762.515467503159
2044.6666376731591,3820.00601851393
1993.2435550236787,3817.89864630131
1918.9062275914239,3751.076074113709
1846.1001872291672,3682.6220488749823
1761.6549312491516,3629.612918023533
1727.4947455812944,3660.861625055666
1706.4176409903903,3755.4055947844045
1655.7638718853705,3839.9133049363736
1735.1485540344875,3896.282369276989
1823.4520615980728,3943.1779571276857
1909.2525503560264,3994.5061164893796
1991.5895775659762,4051.2169140768665
2069.8894812048675,4113.406973985562
2144.1443492048707,4180.358845801432
2214.289130311464,4251.605197290924
2278.34069388223,4328.359499553917
2330.613326092936,4413.318895727225
2294.077793402998,4411.428173207174
2239.2178891113294,4327.870702788697
2176.540261918956,4250.016605731452
2106.9697500773404,4178.206939283312
2031.5924391330918,4112.555062126019
1951.3912898644069,4052.8561135191776
1867.2890756383872,3998.782919493962
1780.06834214245,3949.912916103205
1691.1025618537915,3904.2551148252405
1639.3956638368545,3828.9053788738092
1603.9101000735227,3737.489985745209
1640.112132191658,3659.2602744698524
1696.8317188154906,3732.790692258626
1696.0530843734741,3640.9552854672074
1738.5434904141584,3595.710608801688
1829.1989479064941,3637.847366333008
1771.368815257214,3574.2507301112637
1812.6366418426223,3529.850849100414
1909.9911490698287,3550.60486133027
1955.3260810215725,3632.344174650847
2031.0134836634443,3694.0639639540004
2129.1893649585545,3703.858473104425
2226.604498783893,3681.3557271029013
2325.64302770833,3668.188823426436
2425.5252524436237,3669.8562740694274
2523.6361716022902,3688.4386628346456
2616.075892214446,3726.074761960209
2697.2387232556175,3784.060917762168
2759.8083353405195,3861.568874106427
2793.65769470592,3955.091835573143
2789.7009329270304,4054.2886665708947
2742.263184571469,4141.124826929442
2657.8410274019525,4192.568248007055
2560.0024756020302,4212.815329104424
2463.8072864245623,4238.332797098905
2431.0874804498835,4296.78067927369
2479.063661350714,4384.340670694472
2542.050787815202,4461.8131252812855
2599.3697774519424,4543.410562780013
2631.7442029323865,4637.6366980466555
2654.021086463312,4728.077220199411
2680.947257921416,4633.217739158983
2685.2186540223192,4533.369223559392
2710.9889386302366,4456.621891097888
2788.4148383280262,4518.992610407062
2834.768131113611,4545.387779973447
2806.1172233806465,4449.658242570344
2879.119513160722,4438.523113257925
2966.850323416991,4484.41571586777
2955.594164033653,4385.806148726959
3036.8209061754205,4376.042540767092
3126.9292825448792,4419.355421015178
3132.9526629447937,4376.515640258789
3200.218126789201,4340.261955032183
3297.6024727290496,4359.892423702404
3278.19314941662,4283.154769314584
3293.391041529365,4237.023809517734
3392.776901959005,4247.809528235288
3460.8183865819738,4208.627510906212
3388.732323753633,4139.445019150822
3368.7479296647944,4049.967290525208
3455.3892782553085,4011.139201877082
3555.2473534821765,4016.327578499331
3650.678706629362,3993.783450043542
3644.0610059348655,3912.025758400975
3637.847071115626,3847.6901494176127
3735.979225273244,3865.209089487791
3831.962036217332,3841.4508370108088
3892.9034126478946,3765.7193979314616
3866.38631439209,3672.537757873535
3936.3487443975755,3655.4400978302383
4026.0901736123487,3627.117030470632
4038.3041181066073,3532.7391859424533
3971.3568094287493,3463.8437182369107
3976.6943716012993,3388.9739393259606
4068.8276232154167,3350.542589178556
4134.7142759916605,3285.544933502213
4069.796175688505,3213.88540452067
4141.467153698206,3178.731035359204
4230.964425686747,3139.940198865719
4273.065293623833,3049.8793754546205
4355.06254915148,2994.96872542426
4450.351906106807,2975.3075105894823
4550.349187552929,2975.8630510419607
4650.336499863521,2977.2544705225537
4750.232969321437,2981.542012535277
4849.945860368259,2989.131654722462
4949.322409126444,3000.3017840066877
5048.177902281284,3015.2296115756035
5146.415709951292,3033.9821753870074
5243.836341188013,3056.47105307538
5340.380865568234,3082.504816862963
5435.998458210776,3111.791276087123
5530.98472887059,3143.0399445843523
5628.68415570867,3163.059430789597
5728.650890700752,3164.999963395181
5828.611237352725,3163.0071240127545
5926.061505975813,3142.3367470457742
6018.086300582203,3103.407462079677
6103.833793413622,3052.1332019778188
6181.354295161031,2989.093512230942
6248.776513631345,2915.3696467352693
6304.345485051852,2832.345689556966
6346.395681069147,2741.737951207884
6373.432757469911,2645.566464862466
6384.234891757077,2546.2700032302855
6378.113402875793,2446.581213109174
6355.158326141839,2349.383765786175
6317.764808645341,2256.724240991347
6265.0070772440085,2171.9471653777564
6197.763822973124,2098.0703055093327
6122.5785416703475,2032.1701781005968
6051.4188862536685,1962.1643921449868
5993.088829881227,1881.049101186651
5944.066881486274,1793.9121001380133
5901.848003166037,1703.284547382849
5866.003699060006,1609.9466768326383
5835.506906595464,1514.728684029097
5811.42365258959,1417.7015964224756
5793.075111028433,1319.4918439706234
5759.828475663645,1225.2795059254586
5728.117027260545,1130.4898416418077
5704.553359110239,1033.3091599899785
5687.244472051752,934.8419036973792
5674.807381719334,835.6172452679195
5666.251469847444,735.9899170536178
5660.836787533211,636.1479027782012
5655.012735804326,536.3230263507648
